1 2 3 4 5 6 7 8 
7 12 13 94 241 379 387 397 
7 12 13 94 241 379 387 397 
3 7 23 24 241 379 387 389 
7 12 13 27 379 387 398 399 
3 7 23 24 379 387 389 400 
7 12 13 37 300 379 401 402 
7 12 13 37 300 379 401 402 
3 7 23 24 282 379 401 402 
3 7 23 24 282 379 401 402 
7 12 13 37 71 379 403 404 
3 7 23 24 71 334 379 404 
7 12 13 45 379 405 406 407 
3 7 23 24 379 405 407 408 
7 12 13 43 339 379 407 409 
3 7 23 24 339 379 407 408 
7 12 13 88 339 379 407 410 
3 7 23 24 339 379 407 408 
7 12 13 94 379 407 411 412 
3 7 23 24 379 407 408 411 
7 12 13 77 379 407 411 413 
3 7 23 24 379 407 408 411 
3 7 23 24 340 379 407 408 
7 12 13 37 379 382 414 415 
3 7 23 24 379 384 414 415 
7 12 13 37 371 379 416 417 
3 7 23 24 371 372 379 416 
7 12 13 37 379 418 419 420 
3 7 23 24 190 379 418 420 
7 12 13 77 421 422 423 424 
3 7 23 24 421 422 424 425 
7 12 13 94 421 424 426 427 
3 7 23 24 421 424 425 426 
7 12 13 37 73 75 421 428 
3 7 23 24 72 73 421 428 
7 12 13 37 73 75 421 429 
3 7 23 24 72 73 192 421 
7 12 13 220 421 430 431 432 
7 12 13 421 430 432 433 434 
7 12 13 37 421 432 435 436 
3 7 23 24 421 432 435 437 
3 7 23 24 421 438 439 440 
7 12 13 34 421 438 440 441 
3 7 23 24 421 438 439 440 
7 12 13 27 421 440 442 443 
3 7 23 24 421 439 440 442 
7 12 13 141 421 440 442 444 
3 7 23 24 421 439 440 442 
3 7 23 24 421 439 440 442 
3 7 23 24 421 440 445 446 
7 12 13 34 421 440 447 448 
3 7 23 24 421 440 446 447 
3 7 23 261 421 449 450 451 
3 7 23 264 421 449 451 452 
3 7 23 261 421 451 453 454 
3 7 23 264 421 451 453 455 
7 11 12 13 234 339 421 456 
3 7 23 24 226 339 421 456 
7 12 13 31 37 421 457 458 
3 7 23 24 31 421 458 459 
3 7 23 24 36 421 460 461 
7 12 13 37 421 462 463 464 
3 7 23 24 421 460 461 462 
7 12 13 37 421 462 463 464 
3 7 23 24 362 421 464 465 
3 7 23 24 193 466 467 468 
7 12 13 37 197 466 467 468 
3 7 23 24 193 466 467 468 
3 7 23 24 193 466 467 468 
7 12 13 37 197 466 467 468 
3 7 23 24 193 466 467 468 
7 12 13 37 197 466 468 469 
3 7 23 24 193 466 468 469 
3 7 23 24 25 451 466 470 
7 23 37 451 466 470 471 472 
7 23 64 123 451 466 473 474 
3 7 23 24 25 451 466 473 
7 23 64 123 451 466 473 474 
3 7 23 24 25 451 466 475 
3 7 23 24 25 451 466 475 
3 7 23 24 25 451 466 476 
7 12 13 69 134 451 466 476 
3 7 23 24 25 451 466 476 
3 7 23 24 59 61 154 466 
7 12 13 141 188 256 466 477 
3 7 23 24 188 190 466 477 
3 7 23 24 466 478 479 480 
3 7 23 24 466 478 479 480 
7 12 13 220 466 478 480 481 
3 7 23 24 466 478 479 480 
7 12 13 141 340 466 482 483 
3 7 23 24 41 340 466 483 
7 12 13 27 340 466 483 484 
7 12 13 466 483 485 486 487 
7 12 13 433 466 483 485 488 
7 12 13 51 52 466 483 485 
7 12 13 220 466 483 485 489 
7 12 13 53 54 466 483 485 
7 12 13 49 50 466 483 485 
7 12 13 220 466 483 485 490 
7 12 13 49 50 466 483 485 
7 12 13 47 48 466 483 485 
7 12 13 220 466 483 491 492 
7 12 13 45 46 466 483 493 
7 12 13 43 44 466 483 493 
7 12 13 88 466 483 493 494 
7 12 13 94 466 483 493 495 
7 12 13 77 466 483 493 496 
7 12 13 69 466 483 497 498 
7 12 13 69 466 483 497 498 
3 7 23 24 41 466 483 497 
7 12 13 67 466 483 497 499 
3 7 23 24 41 466 483 497 
7 12 13 201 466 483 497 500 
3 7 23 24 41 466 483 497 
3 7 23 24 41 466 483 497 
3 7 23 24 41 466 483 501 
7 12 13 207 466 483 501 502 
3 7 23 24 41 466 483 501 
7 11 12 13 466 483 501 503 
3 7 23 24 41 466 483 501 
7 12 13 34 466 483 501 504 
3 7 23 24 41 466 483 505 
3 7 23 24 41 466 483 505 
7 12 13 51 188 466 506 507 
3 7 23 24 188 190 466 506 
7 12 13 53 188 466 506 508 
3 7 23 24 188 190 466 506 
7 12 13 49 188 466 506 509 
3 7 23 24 188 190 466 506 
7 13 107 108 466 468 510 511 
3 7 23 24 193 466 468 512 
7 12 13 34 187 188 466 513 
3 7 23 24 188 190 466 513 
7 12 13 141 188 256 466 514 
3 7 23 24 188 190 352 466 
3 7 23 24 193 377 466 515 
7 12 13 141 377 466 515 516 
3 7 23 24 193 377 466 515 
7 13 107 108 466 511 515 517 
3 7 23 24 193 466 515 517 
3 7 23 24 193 466 515 517 
7 12 13 77 518 519 520 521 
7 12 13 94 518 519 521 522 
3 7 23 24 518 519 521 523 
7 12 13 94 518 519 521 522 
3 7 23 24 518 519 521 523 
7 12 13 43 219 409 518 524 
3 7 23 24 219 408 518 524 
7 12 13 88 219 410 518 524 
3 7 23 24 219 408 518 524 
7 12 13 94 219 412 518 524 
3 7 23 24 224 408 518 524 
7 12 13 77 224 413 518 524 
3 7 23 24 408 518 524 525 
3 7 23 24 408 518 524 525 
7 12 13 34 187 188 518 526 
3 7 23 24 188 190 518 526 
3 7 23 24 518 527 528 529 
7 12 13 34 518 527 529 530 
3 7 23 24 518 527 528 529 
7 12 13 207 518 527 529 531 
3 7 23 24 518 527 528 529 
7 12 13 69 518 529 532 533 
3 7 23 24 518 528 529 532 
7 12 13 67 518 529 532 534 
7 12 13 67 518 529 532 534 
3 7 23 24 518 528 529 532 
3 7 23 24 518 528 529 532 
7 12 13 201 518 529 535 536 
3 7 23 24 518 528 529 535 
3 7 23 515 518 537 538 539 
3 7 23 24 193 515 518 537 
7 13 107 108 511 515 518 537 
7 12 13 141 515 516 518 537 
7 12 13 27 195 515 518 540 
3 7 23 24 193 515 518 540 
7 12 13 34 62 541 542 543 
7 12 13 34 62 541 542 543 
7 12 13 62 141 541 543 544 
3 7 23 24 459 541 543 545 
3 7 23 24 541 546 547 548 
7 12 13 34 187 188 541 549 
3 7 23 24 188 190 541 549 
7 12 13 141 541 550 551 552 
3 7 23 24 541 550 552 553 
3 7 23 24 329 505 541 554 
7 12 13 141 541 554 555 556 
3 7 23 24 329 541 554 557 
3 7 23 24 541 558 559 560 
3 7 23 24 541 558 559 560 
7 12 13 69 541 548 561 562 
3 7 23 24 541 547 548 561 
7 12 13 67 541 548 561 563 
3 7 23 24 541 547 548 561 
7 12 13 201 541 548 564 565 
3 7 23 24 541 547 548 564 
3 7 23 24 459 566 567 568 
7 12 13 34 371 566 569 570 
3 7 23 24 193 371 566 569 
7 13 107 108 371 511 566 569 
3 7 23 371 538 539 566 569 
3 7 23 24 193 371 566 569 
7 13 107 108 371 511 566 571 
3 7 23 24 193 371 566 571 
3 7 23 24 193 371 566 571 
3 7 23 24 566 572 573 574 
7 107 108 109 566 572 574 575 
3 7 23 24 566 572 573 574 
7 12 13 141 566 574 576 577 
3 7 23 24 566 573 574 576 
7 12 13 34 171 566 574 578 
3 7 23 24 171 566 573 574 
3 7 23 24 519 566 579 580 
7 12 13 34 519 566 580 581 
7 12 13 34 519 566 580 581 
3 7 23 24 519 566 579 580 
3 7 23 24 519 566 579 580 
3 7 23 24 41 42 566 582 
3 7 23 24 41 42 566 582 
7 12 13 147 220 359 566 583 
3 7 23 24 147 360 566 584 
7 12 13 45 147 566 584 585 
3 7 23 24 147 360 566 584 
3 7 23 24 147 360 566 584 
7 12 13 45 147 566 585 586 
3 7 23 24 147 360 566 587 
3 7 23 24 566 588 589 590 
7 12 13 34 566 588 590 591 
3 7 23 24 566 588 589 590 
3 7 23 24 147 566 592 593 
7 12 13 45 147 566 594 595 
3 7 23 24 147 566 594 596 
7 12 13 147 220 566 597 598 
3 7 23 24 147 566 593 597 
7 12 13 45 147 566 597 599 
7 12 13 147 220 566 600 601 
3 7 23 24 147 566 596 600 
3 7 23 24 147 566 602 603 
7 12 13 147 220 566 604 605 
3 7 23 24 147 252 566 604 
7 12 13 45 147 566 606 607 
3 7 23 24 147 566 603 606 
7 12 13 45 147 566 608 609 
3 7 23 24 147 252 566 608 
7 12 13 40 45 147 566 610 
3 7 23 24 40 147 190 566 
7 12 13 40 69 147 566 611 
3 7 23 24 40 147 566 603 
7 12 13 147 220 566 612 613 
3 7 23 24 147 190 566 612 
7 12 13 147 220 566 614 615 
3 7 23 24 147 566 614 616 
7 12 13 45 147 566 617 618 
3 7 23 24 147 566 616 617 
7 12 13 43 147 566 619 620 
3 7 23 24 147 566 616 619 
7 12 13 43 147 566 619 621 
3 7 23 24 147 252 566 619 
3 7 23 24 147 252 566 619 
7 12 13 67 147 566 619 622 
3 7 23 24 147 566 616 623 
7 11 12 13 147 566 623 624 
3 7 23 24 147 252 566 623 
7 12 13 34 187 566 625 626 
3 7 23 24 190 566 625 626 
3 7 23 24 566 627 628 629 
3 7 23 24 566 628 629 630 
7 12 13 141 566 629 631 632 
3 7 23 24 566 628 629 631 
7 12 13 141 517 566 633 634 
3 7 23 24 460 517 566 634 
3 7 23 24 79 80 546 635 
3 7 23 24 372 635 636 637 
3 7 23 24 372 635 636 637 
7 107 108 109 635 637 638 639 
7 13 107 108 635 637 638 640 
3 7 23 24 372 635 637 638 
7 13 107 108 511 635 641 642 
3 7 23 24 193 635 641 642 
3 7 23 24 99 635 643 644 
3 7 23 24 99 635 643 644 
3 7 23 24 635 643 644 645 
7 12 13 27 635 644 645 646 
3 7 23 24 635 643 644 645 
7 12 13 88 635 644 645 647 
3 7 23 24 249 635 643 644 
7 12 13 378 433 635 648 649 
3 7 23 24 277 378 635 648 
7 11 12 13 635 650 651 652 
3 7 23 24 635 652 653 654 
3 7 23 24 594 635 655 656 
7 12 13 220 597 635 656 657 
7 12 13 69 635 656 658 659 
3 7 23 24 635 655 656 658 
7 12 13 34 635 656 658 660 
7 12 13 69 635 656 658 659 
7 12 13 69 635 656 658 659 
7 12 13 141 635 656 658 661 
3 7 23 24 635 655 656 658 
7 12 13 220 635 656 657 658 
7 12 13 69 600 635 656 659 
7 12 13 53 600 635 656 662 
7 12 13 51 600 635 656 663 
7 12 13 51 600 635 656 663 
7 12 13 43 600 635 656 664 
3 7 23 24 147 479 600 635 
3 7 23 24 635 655 656 665 
7 12 13 147 220 481 635 665 
3 7 23 24 147 479 635 665 
7 12 13 147 220 635 665 666 
3 7 23 24 147 635 665 667 
3 7 23 24 147 635 667 668 
7 12 13 180 220 635 669 670 
7 12 13 45 180 635 670 671 
3 7 23 24 180 635 670 672 
3 7 23 24 387 389 635 673 
7 12 13 141 387 635 674 675 
3 7 23 24 387 389 635 676 
3 7 23 24 387 389 635 676 
3 7 23 24 387 389 635 676 
3 7 23 24 147 635 677 678 
7 12 13 45 147 635 679 680 
3 7 23 24 147 635 679 681 
7 12 13 45 147 635 682 683 
3 7 23 24 147 635 682 684 
7 12 13 94 147 635 682 685 
3 7 23 24 147 635 682 684 
7 12 13 88 147 635 682 686 
3 7 23 24 147 635 682 684 
7 12 13 27 147 635 687 688 
3 7 23 24 147 635 687 689 
7 12 13 43 147 635 690 691 
3 7 23 24 147 635 684 690 
3 7 23 24 377 568 635 692 
3 7 23 24 56 693 694 695 
7 12 13 56 220 693 695 696 
7 12 13 141 693 695 697 698 
7 12 13 27 62 693 695 699 
3 7 23 24 545 693 694 695 
7 12 13 141 516 693 700 701 
7 12 13 34 570 693 700 701 
7 12 13 34 473 570 693 701 
3 7 23 24 193 473 693 701 
7 13 107 108 473 511 693 701 
3 7 23 24 193 473 693 701 
3 7 23 24 693 702 703 704 
7 12 13 141 693 702 704 705 
3 7 23 24 693 702 703 704 
7 12 13 45 693 702 704 706 
7 12 13 45 693 702 704 706 
3 7 23 24 693 702 703 704 
7 12 13 43 693 702 704 707 
7 12 13 43 693 702 704 707 
3 7 23 24 693 703 704 708 
7 12 13 88 693 704 708 709 
7 12 13 88 693 704 708 709 
3 7 23 24 693 703 704 708 
7 12 13 94 693 704 708 710 
3 7 23 24 693 703 704 708 
7 12 13 34 693 704 711 712 
7 12 13 34 693 704 711 712 
3 7 23 24 693 703 704 711 
7 12 13 69 693 704 711 713 
7 12 13 69 693 704 711 713 
3 7 23 24 693 703 704 711 
7 12 13 207 693 704 711 714 
7 12 13 207 693 704 711 714 
3 7 23 24 693 703 704 711 
7 11 12 13 426 693 704 715 
3 7 23 24 426 693 703 704 
3 7 23 24 426 693 703 704 
7 12 13 69 693 716 717 718 
7 12 13 67 693 716 718 719 
7 12 13 201 693 716 718 720 
7 12 13 207 693 716 718 721 
3 7 23 24 693 716 718 722 
7 11 12 13 693 718 723 724 
3 7 23 24 693 718 722 723 
3 7 23 24 101 102 693 725 
7 12 13 69 101 693 725 726 
3 7 23 24 101 102 693 725 
7 12 13 67 101 693 727 728 
3 7 23 24 101 102 693 727 
7 12 13 101 201 693 727 729 
3 7 23 24 101 102 693 727 
3 7 23 24 146 693 730 731 
7 12 13 34 183 693 732 733 
7 12 13 45 693 732 733 734 
7 107 108 109 693 733 735 736 
7 12 13 27 510 693 733 737 
7 12 13 141 217 510 693 733 
3 7 23 24 181 510 693 733 
7 12 13 34 693 738 739 740 
3 7 23 24 351 693 738 740 
7 12 13 69 594 693 741 742 
7 12 13 67 597 693 742 743 
3 7 23 24 372 597 693 742 
7 12 13 77 668 693 744 745 
7 12 13 69 693 745 746 747 
7 12 13 67 693 745 746 748 
7 12 13 201 693 745 749 750 
3 7 23 24 654 693 745 749 
7 12 13 34 693 751 752 753 
7 12 13 34 693 751 752 753 
3 7 23 24 102 693 753 754 
3 7 23 24 693 755 756 757 
7 12 13 141 656 693 758 759 
3 7 23 24 656 693 760 761 
7 12 13 43 147 693 762 763 
3 7 23 24 147 319 693 762 
3 7 23 24 764 765 766 767 
7 12 13 141 764 765 767 768 
3 7 23 24 764 765 766 767 
7 12 13 51 764 767 769 770 
3 7 23 24 764 766 767 769 
7 12 13 53 764 767 769 771 
3 7 23 24 764 766 767 769 
7 12 13 49 764 767 769 772 
3 7 23 24 764 766 767 769 
7 12 13 47 764 767 769 773 
3 7 23 24 764 766 767 769 
7 12 13 220 764 767 769 774 
3 7 23 24 764 766 767 769 
7 12 13 45 764 767 775 776 
3 7 23 24 764 766 767 775 
7 12 13 43 764 767 775 777 
3 7 23 24 764 766 767 775 
7 12 13 88 764 767 775 778 
3 7 23 24 764 766 767 775 
7 12 13 94 764 767 775 779 
3 7 23 24 764 766 767 775 
7 12 13 77 764 767 775 780 
3 7 23 24 764 766 767 775 
7 12 13 141 764 767 768 781 
7 12 13 433 764 767 781 782 
3 7 23 24 764 766 767 781 
7 12 13 220 764 767 774 781 
3 7 23 24 764 766 767 783 
7 12 13 77 764 767 780 783 
3 7 23 24 764 766 767 783 
7 12 13 69 764 767 783 784 
3 7 23 24 764 766 767 783 
7 12 13 67 764 767 783 785 
3 7 23 24 764 766 767 783 
7 12 13 201 764 767 783 786 
3 7 23 24 764 766 767 783 
7 12 13 207 764 767 783 787 
3 7 23 24 764 766 767 783 
7 11 12 13 764 767 788 789 
3 7 23 24 764 766 767 788 
7 12 13 34 764 767 788 790 
3 7 23 24 764 766 767 788 
3 7 23 24 59 61 764 791 
3 7 23 24 59 61 764 791 
3 7 23 395 764 792 793 794 
3 7 23 725 764 792 793 794 
7 107 108 109 725 764 794 795 
3 7 23 725 764 792 794 796 
7 12 13 94 764 797 798 799 
7 12 13 77 764 799 800 801 
7 12 13 141 241 764 799 802 
7 12 13 27 241 764 799 803 
3 7 23 24 241 764 799 804 
3 7 23 24 764 805 806 807 
3 7 764 805 807 808 809 810 
3 7 764 805 807 808 809 810 
3 7 23 24 764 806 807 811 
7 12 13 141 568 764 812 813 
3 7 23 24 568 692 764 812 
3 7 23 24 568 692 764 812 
3 7 23 24 568 692 764 814 
3 7 23 24 568 692 764 814 
7 12 13 34 764 815 816 817 
7 12 13 141 764 817 818 819 
3 7 23 24 764 817 818 820 
3 7 23 24 764 817 818 820 
